Region, 2017-10-1, 2016-10-2, 2015-09-27, 2014-09-28, 2013-08-29
Americas-Corp,9413,9019,8671,8395,8078
Americas-Lic,7146,6588,6132,5796,5415
China/AP-Corp,3070,2811,2452,1132,882
China/AP-Lic,4409,3632,3010,3492,3000
EMEA-Corp,502,523,737,817,826
EMEA-Lic,2472,2119,1625,1323,1143
Other-Corp,290,358,375,369,357
Other-Lic,37,35,41,42,66
